Kuukausi,Polttoneste,Hinta
1988-01-01,"Moottoribensiini 95 E 10, snt/l",56.0
1988-01-01,"Dieselöljy, snt/l",40.0
1988-01-01,"Kevyt polttoöljy, snt/l",16.0
1988-01-01,"Kevyt polttoöljy, eur/MWh",16.1
1988-02-01,"Moottoribensiini 95 E 10, snt/l",56.0
1988-02-01,"Dieselöljy, snt/l",40.0
1988-02-01,"Kevyt polttoöljy, snt/l",16.0
1988-02-01,"Kevyt polttoöljy, eur/MWh",16.1
1988-03-01,"Moottoribensiini 95 E 10, snt/l",56.0
1988-03-01,"Dieselöljy, snt/l",40.0
1988-03-01,"Kevyt polttoöljy, snt/l",15.2
1988-03-01,"Kevyt polttoöljy, eur/MWh",15.3
1988-04-01,"Moottoribensiini 95 E 10, snt/l",56.0
1988-04-01,"Dieselöljy, snt/l",39.7
1988-04-01,"Kevyt polttoöljy, snt/l",15.2
1988-04-01,"Kevyt polttoöljy, eur/MWh",15.3
1988-05-01,"Moottoribensiini 95 E 10, snt/l",56.3
1988-05-01,"Dieselöljy, snt/l",39.9
1988-05-01,"Kevyt polttoöljy, snt/l",15.2
1988-05-01,"Kevyt polttoöljy, eur/MWh",15.3
1988-06-01,"Moottoribensiini 95 E 10, snt/l",56.5
1988-06-01,"Dieselöljy, snt/l",39.9
1988-06-01,"Kevyt polttoöljy, snt/l",15.2
1988-06-01,"Kevyt polttoöljy, eur/MWh",15.3
1988-07-01,"Moottoribensiini 95 E 10, snt/l",56.5
1988-07-01,"Dieselöljy, snt/l",39.9
1988-07-01,"Kevyt polttoöljy, snt/l",15.2
1988-07-01,"Kevyt polttoöljy, eur/MWh",15.3
1988-08-01,"Moottoribensiini 95 E 10, snt/l",56.5
1988-08-01,"Dieselöljy, snt/l",39.9
1988-08-01,"Kevyt polttoöljy, snt/l",15.2
1988-08-01,"Kevyt polttoöljy, eur/MWh",15.3
1988-09-01,"Moottoribensiini 95 E 10, snt/l",56.7
1988-09-01,"Dieselöljy, snt/l",39.9
1988-09-01,"Kevyt polttoöljy, snt/l",15.2
1988-09-01,"Kevyt polttoöljy, eur/MWh",15.3
1988-10-01,"Moottoribensiini 95 E 10, snt/l",56.5
1988-10-01,"Dieselöljy, snt/l",39.9
1988-10-01,"Kevyt polttoöljy, snt/l",15.1
1988-10-01,"Kevyt polttoöljy, eur/MWh",15.2
1988-11-01,"Moottoribensiini 95 E 10, snt/l",56.7
1988-11-01,"Dieselöljy, snt/l",39.9
1988-11-01,"Kevyt polttoöljy, snt/l",14.3
1988-11-01,"Kevyt polttoöljy, eur/MWh",14.4
1988-12-01,"Moottoribensiini 95 E 10, snt/l",56.7
1988-12-01,"Dieselöljy, snt/l",39.9
1988-12-01,"Kevyt polttoöljy, snt/l",14.3
1988-12-01,"Kevyt polttoöljy, eur/MWh",14.4
1989-01-01,"Moottoribensiini 95 E 10, snt/l",56.2
1989-01-01,"Dieselöljy, snt/l",41.4
1989-01-01,"Kevyt polttoöljy, snt/l",16.7
1989-01-01,"Kevyt polttoöljy, eur/MWh",16.7
1989-02-01,"Moottoribensiini 95 E 10, snt/l",56.0
1989-02-01,"Dieselöljy, snt/l",41.5
1989-02-01,"Kevyt polttoöljy, snt/l",16.8
1989-02-01,"Kevyt polttoöljy, eur/MWh",16.9
1989-03-01,"Moottoribensiini 95 E 10, snt/l",58.5
1989-03-01,"Dieselöljy, snt/l",43.9
1989-03-01,"Kevyt polttoöljy, snt/l",16.7
1989-03-01,"Kevyt polttoöljy, eur/MWh",16.7
1989-04-01,"Moottoribensiini 95 E 10, snt/l",61.9
1989-04-01,"Dieselöljy, snt/l",44.9
1989-04-01,"Kevyt polttoöljy, snt/l",16.8
1989-04-01,"Kevyt polttoöljy, eur/MWh",16.9
1989-05-01,"Moottoribensiini 95 E 10, snt/l",61.4
1989-05-01,"Dieselöljy, snt/l",43.9
1989-05-01,"Kevyt polttoöljy, snt/l",17.5
1989-05-01,"Kevyt polttoöljy, eur/MWh",17.6
1989-06-01,"Moottoribensiini 95 E 10, snt/l",60.6
1989-06-01,"Dieselöljy, snt/l",43.2
1989-06-01,"Kevyt polttoöljy, snt/l",17.5
1989-06-01,"Kevyt polttoöljy, eur/MWh",17.6
1989-07-01,"Moottoribensiini 95 E 10, snt/l",60.4
1989-07-01,"Dieselöljy, snt/l",43.4
1989-07-01,"Kevyt polttoöljy, snt/l",17.7
1989-07-01,"Kevyt polttoöljy, eur/MWh",17.7
1989-08-01,"Moottoribensiini 95 E 10, snt/l",59.4
1989-08-01,"Dieselöljy, snt/l",43.2
1989-08-01,"Kevyt polttoöljy, snt/l",17.5
1989-08-01,"Kevyt polttoöljy, eur/MWh",17.6
1989-09-01,"Moottoribensiini 95 E 10, snt/l",61.4
1989-09-01,"Dieselöljy, snt/l",44.7
1989-09-01,"Kevyt polttoöljy, snt/l",18.0
1989-09-01,"Kevyt polttoöljy, eur/MWh",18.1
1989-10-01,"Moottoribensiini 95 E 10, snt/l",60.2
1989-10-01,"Dieselöljy, snt/l",45.9
1989-10-01,"Kevyt polttoöljy, snt/l",19.0
1989-10-01,"Kevyt polttoöljy, eur/MWh",19.1
1989-11-01,"Moottoribensiini 95 E 10, snt/l",60.0
1989-11-01,"Dieselöljy, snt/l",47.3
1989-11-01,"Kevyt polttoöljy, snt/l",20.0
1989-11-01,"Kevyt polttoöljy, eur/MWh",20.1
1989-12-01,"Moottoribensiini 95 E 10, snt/l",60.4
1989-12-01,"Dieselöljy, snt/l",49.1
1989-12-01,"Kevyt polttoöljy, snt/l",21.0
1989-12-01,"Kevyt polttoöljy, eur/MWh",21.1
1990-01-01,"Moottoribensiini 95 E 10, snt/l",68.0
1990-01-01,"Dieselöljy, snt/l",52.3
1990-01-01,"Kevyt polttoöljy, snt/l",21.5
1990-01-01,"Kevyt polttoöljy, eur/MWh",21.6
1990-02-01,"Moottoribensiini 95 E 10, snt/l",68.1
1990-02-01,"Dieselöljy, snt/l",51.3
1990-02-01,"Kevyt polttoöljy, snt/l",20.5
1990-02-01,"Kevyt polttoöljy, eur/MWh",20.6
1990-03-01,"Moottoribensiini 95 E 10, snt/l",68.0
1990-03-01,"Dieselöljy, snt/l",50.1
1990-03-01,"Kevyt polttoöljy, snt/l",19.3
1990-03-01,"Kevyt polttoöljy, eur/MWh",19.4
1990-04-01,"Moottoribensiini 95 E 10, snt/l",66.8
1990-04-01,"Dieselöljy, snt/l",47.8
1990-04-01,"Kevyt polttoöljy, snt/l",18.7
1990-04-01,"Kevyt polttoöljy, eur/MWh",18.8
1990-05-01,"Moottoribensiini 95 E 10, snt/l",66.3
1990-05-01,"Dieselöljy, snt/l",46.9
1990-05-01,"Kevyt polttoöljy, snt/l",18.3
1990-05-01,"Kevyt polttoöljy, eur/MWh",18.4
1990-06-01,"Moottoribensiini 95 E 10, snt/l",68.1
1990-06-01,"Dieselöljy, snt/l",46.8
1990-06-01,"Kevyt polttoöljy, snt/l",17.5
1990-06-01,"Kevyt polttoöljy, eur/MWh",17.6
1990-07-01,"Moottoribensiini 95 E 10, snt/l",68.1
1990-07-01,"Dieselöljy, snt/l",46.9
1990-07-01,"Kevyt polttoöljy, snt/l",17.7
1990-07-01,"Kevyt polttoöljy, eur/MWh",17.7
1990-08-01,"Moottoribensiini 95 E 10, snt/l",74.5
1990-08-01,"Dieselöljy, snt/l",52.3
1990-08-01,"Kevyt polttoöljy, snt/l",23.2
1990-08-01,"Kevyt polttoöljy, eur/MWh",23.3
1990-09-01,"Moottoribensiini 95 E 10, snt/l",79.6
1990-09-01,"Dieselöljy, snt/l",56.7
1990-09-01,"Kevyt polttoöljy, snt/l",27.6
1990-09-01,"Kevyt polttoöljy, eur/MWh",27.7
1990-10-01,"Moottoribensiini 95 E 10, snt/l",74.3
1990-10-01,"Dieselöljy, snt/l",57.9
1990-10-01,"Kevyt polttoöljy, snt/l",27.3
1990-10-01,"Kevyt polttoöljy, eur/MWh",27.4
1990-11-01,"Moottoribensiini 95 E 10, snt/l",71.8
1990-11-01,"Dieselöljy, snt/l",57.0
1990-11-01,"Kevyt polttoöljy, snt/l",27.3
1990-11-01,"Kevyt polttoöljy, eur/MWh",27.4
1990-12-01,"Moottoribensiini 95 E 10, snt/l",67.4
1990-12-01,"Dieselöljy, snt/l",55.5
1990-12-01,"Kevyt polttoöljy, snt/l",25.2
1990-12-01,"Kevyt polttoöljy, eur/MWh",25.3
1991-01-01,"Moottoribensiini 95 E 10, snt/l",74.3
1991-01-01,"Dieselöljy, snt/l",56.3
1991-01-01,"Kevyt polttoöljy, snt/l",24.9
