"12ge -- Polttonesteiden kuluttajahinnat (sisältää alv:n), 1988M01-2025M03"

"Kuukausi","Polttoneste","Hinta","Hinta, vuosimuutos (%)"
"1988M01","Moottoribensiini 95 E 10, snt/l",56.0,.
"1988M01","Dieselöljy, snt/l",40.0,.
"1988M01","Kevyt polttoöljy, snt/l",16.0,.
"1988M01","Kevyt polttoöljy, eur/MWh",16.1,.
"1988M02","Moottoribensiini 95 E 10, snt/l",56.0,.
"1988M02","Dieselöljy, snt/l",40.0,.
"1988M02","Kevyt polttoöljy, snt/l",16.0,.
"1988M02","Kevyt polttoöljy, eur/MWh",16.1,.
"1988M03","Moottoribensiini 95 E 10, snt/l",56.0,.
"1988M03","Dieselöljy, snt/l",40.0,.
"1988M03","Kevyt polttoöljy, snt/l",15.2,.
"1988M03","Kevyt polttoöljy, eur/MWh",15.3,.
"1988M04","Moottoribensiini 95 E 10, snt/l",56.0,.
"1988M04","Dieselöljy, snt/l",39.7,.
"1988M04","Kevyt polttoöljy, snt/l",15.2,.
"1988M04","Kevyt polttoöljy, eur/MWh",15.3,.
"1988M05","Moottoribensiini 95 E 10, snt/l",56.3,.
"1988M05","Dieselöljy, snt/l",39.9,.
"1988M05","Kevyt polttoöljy, snt/l",15.2,.
"1988M05","Kevyt polttoöljy, eur/MWh",15.3,.
"1988M06","Moottoribensiini 95 E 10, snt/l",56.5,.
"1988M06","Dieselöljy, snt/l",39.9,.
"1988M06","Kevyt polttoöljy, snt/l",15.2,.
"1988M06","Kevyt polttoöljy, eur/MWh",15.3,.
"1988M07","Moottoribensiini 95 E 10, snt/l",56.5,.
"1988M07","Dieselöljy, snt/l",39.9,.
"1988M07","Kevyt polttoöljy, snt/l",15.2,.
"1988M07","Kevyt polttoöljy, eur/MWh",15.3,.
"1988M08","Moottoribensiini 95 E 10, snt/l",56.5,.
"1988M08","Dieselöljy, snt/l",39.9,.
"1988M08","Kevyt polttoöljy, snt/l",15.2,.
"1988M08","Kevyt polttoöljy, eur/MWh",15.3,.
"1988M09","Moottoribensiini 95 E 10, snt/l",56.7,.
"1988M09","Dieselöljy, snt/l",39.9,.
"1988M09","Kevyt polttoöljy, snt/l",15.2,.
"1988M09","Kevyt polttoöljy, eur/MWh",15.3,.
"1988M10","Moottoribensiini 95 E 10, snt/l",56.5,.
"1988M10","Dieselöljy, snt/l",39.9,.
"1988M10","Kevyt polttoöljy, snt/l",15.1,.
"1988M10","Kevyt polttoöljy, eur/MWh",15.2,.
"1988M11","Moottoribensiini 95 E 10, snt/l",56.7,.
"1988M11","Dieselöljy, snt/l",39.9,.
"1988M11","Kevyt polttoöljy, snt/l",14.3,.
"1988M11","Kevyt polttoöljy, eur/MWh",14.4,.
"1988M12","Moottoribensiini 95 E 10, snt/l",56.7,.
"1988M12","Dieselöljy, snt/l",39.9,.
"1988M12","Kevyt polttoöljy, snt/l",14.3,.
"1988M12","Kevyt polttoöljy, eur/MWh",14.4,.
"1989M01","Moottoribensiini 95 E 10, snt/l",56.2,0.3
"1989M01","Dieselöljy, snt/l",41.4,3.3
"1989M01","Kevyt polttoöljy, snt/l",16.7,3.8
"1989M01","Kevyt polttoöljy, eur/MWh",16.7,3.7
"1989M02","Moottoribensiini 95 E 10, snt/l",56.0,0.0
"1989M02","Dieselöljy, snt/l",41.5,3.8
"1989M02","Kevyt polttoöljy, snt/l",16.8,4.9
"1989M02","Kevyt polttoöljy, eur/MWh",16.9,5.0
"1989M03","Moottoribensiini 95 E 10, snt/l",58.5,4.5
"1989M03","Dieselöljy, snt/l",43.9,9.7
"1989M03","Kevyt polttoöljy, snt/l",16.7,9.5
"1989M03","Kevyt polttoöljy, eur/MWh",16.7,9.2
